itemId,title,publicationYear,publicationDate,editor,publisher
N001,The New York Times,2023,2023-03-01,Joe Kahn,The New York Times Company
N002,The Washington Post,2023,2023-03-01,Sally Buzbee,Nash Holdings
N003,The Wall Street Journal,2023,2023-03-02,Emma Tucker,News Corp
N004,USA Today,2023,2023-03-02,Nicole Carroll,Gannett
N005,Los Angeles Times,2023,2023-03-03,Kevin Merida,Los Angeles Times Communications LLC
N006,Chicago Tribune,2023,2023-03-03,Colin McMahon,Tribune Publishing
N007,The Boston Globe,2023,2023-03-04,Nancy Barnes,Boston Globe Media Partners
N008,The Guardian,2023,2023-03-04,Katharine Viner,Guardian Media Group
N009,The Times of London,2023,2023-03-05,John Witherow,News UK
N010,Financial Times,2023,2023-03-05,Roula Khalaf,Nikkei Inc.
